订单号,成交时间,商品ID,商品名称,数量,单价,实付金额,运费,优惠金额,买家ID,退款状态,订单状态,备注
TB0000082,2026-08-11 15:13:51,4160755,母婴玩具-商品0755,1,88.57,88.57,0,0,100105,未退款,已完成,
TB0000083,2026-08-12 08:03:13,1497786,美妆个护-商品7786,1,272.41,272.41,0,0,100105,未退款,已完成,
TB0000084,2026-08-05 12:50:50,4552528,家居日用-商品2528,1,31.51,31.51,0,0,100107,未退款,已完成,
TB0000085,2026-08-07 23:41:52,3325584,服饰鞋包-商品5584,1,175.07,175.07,0,0,100107,已退款,已退款,
TB0000086,2026-08-12 10:34:17,3325584,服饰鞋包-商品5584,1,83.05,83.05,0,0,100107,未退款,已完成,
TB0000087,2026-08-08 06:02:43,2550654,运动户外-商品0654,1,281.04,281.04,0,0,100109,未退款,已完成,
TB0000088,2026-08-04 15:24:14,3745851,母婴玩具-商品5851,1,37.4,37.4,0,0,100113,未退款,已完成,
TB0000089,2026-08-06 10:06:42,480005,母婴玩具-商品0005,1,182.33,182.33,0,0,100113,未退款,已完成,
TB0000090,2026-08-08 09:08:28,4190024,母婴玩具-商品0024,1,184.2,184.2,0,0,100113,未退款,已完成,
TB0000091,2026-08-04 04:25:28,2418607,家居日用-商品8607,1,46.62,46.62,0,0,100116,已退款,已退款,
TB0000092,2026-08-05 15:45:01,1019124,家居日用-商品9124,1,81.21,81.21,0,0,100116,未退款,已完成,
TB0000093,2026-08-06 11:53:44,4098455,家居日用-商品8455,1,84.63,84.63,0,0,100116,未退款,已完成,
TB0000094,2026-08-08 10:42:28,2306360,美妆个护-商品6360,1,286.08,286.08,0,0,100116,未退款,已完成,
TB0000095,2026-08-08 12:16:37,3147410,图书文创-商品7410,1,27.19,27.19,0,0,100116,未退款,已完成,
TB0000096,2026-08-09 11:12:18,1615503,美妆个护-商品5503,1,55.98,55.98,0,0,100116,未退款,已完成,
TB0000097,2026-08-09 12:37:23,4546123,食品生鲜-商品6123,1,60.51,60.51,0,0,100116,未退款,已完成,
TB0000098,2026-08-10 00:25:53,1019124,家居日用-商品9124,1,52.39,52.39,0,0,100116,未退款,已完成,
TB0000099,2026-08-10 02:43:25,2560951,美妆个护-商品0951,1,152.91,152.91,0,0,100116,未退款,已完成,
TB0000100,2026-08-10 08:50:11,1994697,母婴玩具-商品4697,1,126.84,126.84,0,0,100116,已退款,已退款,
TB0000101,2026-08-11 03:47:42,4131397,数码家电-商品1397,1,181.21,181.21,0,0,100116,未退款,已完成,
TB0000102,2026-08-12 01:32:11,3903657,家居日用-商品3657,1,112.69,112.69,0,0,100116,未退款,已完成,
TB0000103,2026-08-12 07:11:06,1441548,食品生鲜-商品1548,1,27.47,27.47,0,0,100116,未退款,已完成,
TB0000104,2026-08-06 01:39:33,3397193,运动户外-商品7193,1,362.27,362.27,0,0,100128,未退款,已完成,
TB0000105,2026-08-11 02:07:28,4966291,数码家电-商品6291,1,581.61,581.61,0,0,100128,未退款,已完成,
TB0000106,2026-08-03 16:47:25,2744564,家居日用-商品4564,1,101.09,101.09,0,0,100134,未退款,已完成,
TB0000107,2026-08-03 16:49:08,1892478,数码家电-商品2478,1,165.49,165.49,0,0,100134,未退款,已完成,
TB0000108,2026-08-03 16:51:19,572713,家居日用-商品2713,1,120.79,120.79,0,0,100134,未退款,已完成,
TB0000109,2026-08-03 17:17:14,1324310,美妆个护-商品4310,1,137.27,137.27,0,0,100134,未退款,已完成,
TB0000110,2026-08-03 17:18:30,1984229,美妆个护-商品4229,1,278.83,278.83,0,0,100134,未退款,已完成,
TB0000111,2026-08-03 17:48:22,2780055,运动户外-商品0055,1,241.68,241.68,0,0,100134,未退款,已完成,
TB0000112,2026-08-03 17:55:39,3384545,家居日用-商品4545,1,94.03,94.03,0,0,100134,未退款,已完成,
TB0000113,2026-08-03 18:03:19,4378118,食品生鲜-商品8118,1,12.74,12.74,0,0,100134,未退款,已完成,
TB0000114,2026-08-05 11:43:39,3527523,数码家电-商品7523,1,613.56,613.56,0,0,100134,未退款,已完成,
TB0000115,2026-08-05 12:07:42,3445545,家居日用-商品5545,1,139.61,139.61,0,0,100134,未退款,已完成,
TB0000116,2026-08-05 15:12:58,1521404,数码家电-商品1404,1,524.58,524.58,0,0,100134,未退款,已完成,
TB0000117,2026-08-05 15:16:45,520142,数码家电-商品0142,1,483.92,483.92,0,0,100134,未退款,已完成,
TB0000118,2026-08-06 08:02:00,1835160,家居日用-商品5160,1,146.48,146.48,0,0,100134,未退款,已完成,
TB0000119,2026-08-07 11:29:44,4706669,美妆个护-商品6669,1,138.63,138.63,0,0,100134,未退款,已完成,
TB0000120,2026-08-08 11:00:14,1952629,数码家电-商品2629,1,103.12,103.12,0,0,100141,未退款,已完成,
TB0000121,2026-08-11 11:29:12,4688200,数码家电-商品8200,1,790.09,790.09,0,0,100141,未退款,已完成,
TB0000122,2026-08-08 02:51:55,4208840,美妆个护-商品8840,1,102.87,102.87,0,0,100164,未退款,已完成,
TB0000123,2026-08-06 04:30:39,3595771,运动户外-商品5771,1,166.97,166.97,0,0,100173,未退款,已完成,
TB0000124,2026-08-06 06:12:24,2384033,家居日用-商品4033,1,153.69,153.69,0,0,100173,未退款,已完成,
TB0000125,2026-08-06 06:42:41,459051,食品生鲜-商品9051,1,32.62,32.62,0,0,100173,未退款,已完成,
TB0000126,2026-08-07 11:34:18,5133563,服饰鞋包-商品3563,1,141.84,141.84,0,0,100173,未退款,已完成,
TB0000127,2026-08-10 12:31:11,3501133,母婴玩具-商品1133,1,79.94,79.94,0,0,100173,已退款,已退款,
TB0000127,2026-08-10 12:31:11,1241252,母婴玩具-商品1252,1,169.13,169.13,0,0,100173,已退款,已退款,
TB0000128,2026-08-12 01:42:21,2719532,美妆个护-商品9532,1,85.53,85.53,0,0,100173,未退款,已完成,
TB0000129,2026-08-12 01:49:24,2679327,美妆个护-商品9327,1,239.03,239.03,0,0,100173,未退款,已完成,
TB0000130,2026-08-07 11:52:37,858775,数码家电-商品8775,1,334.9,334.9,0,0,100177,未退款,已完成,
TB0000131,2026-08-07 12:17:28,215575,数码家电-商品5575,1,192.67,192.67,0,0,100177,未退款,已完成,
TB0000132,2026-08-07 12:20:25,1982220,母婴玩具-商品2220,1,184.39,184.39,0,0,100177,未退款,已完成,
TB0000133,2026-08-11 10:33:21,629319,运动户外-商品9319,1,222.12,222.12,0,0,100184,未退款,已完成,
TB0000134,2026-08-05 02:13:50,968355,图书文创-商品8355,1,12.11,12.11,0,0,100186,未退款,已完成,
TB0000135,2026-08-07 02:50:27,1240593,食品生鲜-商品0593,1,9.45,9.45,0,0,100186,未退款,已完成,
TB0000136,2026-08-09 11:07:23,4471946,运动户外-商品1946,1,236.37,236.37,0,0,100186,未退款,已完成,
TB0000137,2026-08-11 09:01:18,663180,食品生鲜-商品3180,1,79.52,79.52,0,0,100186,未退款,已完成,
TB0000138,2026-08-11 09:13:17,1040073,家居日用-商品0073,1,81.56,81.56,0,0,100186,未退款,已完成,
TB0000139,2026-08-08 05:34:21,566509,母婴玩具-商品6509,1,43.89,43.89,0,0,100191,未退款,已完成,
TB0000140,2026-08-09 02:47:39,3265881,美妆个护-商品5881,1,240.56,240.56,0,0,100191,未退款,已完成,
TB0000141,2026-08-10 07:52:37,5098105,美妆个护-商品8105,1,211.85,211.85,0,0,100191,未退款,已完成,
TB0000142,2026-08-10 08:01:12,2751923,家居日用-商品1923,1,62.55,62.55,0,0,100191,未退款,已完成,
TB0000143,2026-08-10 11:00:06,4032367,运动户外-商品2367,1,188.13,188.13,0,0,100191,未退款,已完成,
TB0000144,2026-08-07 10:59:54,1381913,美妆个护-商品1913,1,89.21,89.21,0,0,100197,未退款,已完成,
TB0000145,2026-08-12 10:46:26,1518231,美妆个护-商品8231,1,131.3,131.3,0,0,100197,未退款,已完成,
TB0000146,2026-08-06 14:31:42,2992525,美妆个护-商品2525,1,249.24,249.24,0,0,100204,未退款,已完成,
TB0000146,2026-08-06 14:31:42,1584628,美妆个护-商品4628,1,212.69,212.69,0,0,100204,未退款,已完成,
TB0000147,2026-08-07 04:45:17,4126884,图书文创-商品6884,1,57.1,57.1,0,0,100204,未退款,已完成,
TB0000148,2026-08-07 05:03:49,3286960,母婴玩具-商品6960,1,183.72,183.72,0,0,100204,未退款,已完成,
TB0000149,2026-08-07 07:31:05,1358099,图书文创-商品8099,1,22.23,22.23,0,0,100204,未退款,已完成,
TB0000150,2026-08-08 14:44:09,1150186,家居日用-商品0186,1,128.93,128.93,0,0,100215,未退款,已完成,
TB0000151,2026-08-10 16:06:33,2402579,家居日用-商品2579,1,108.84,108.84,0,0,100215,未退款,已完成,
TB0000152,2026-08-11 04:19:14,3636634,数码家电-商品6634,1,117.93,117.93,0,0,100215,未退款,已完成,
TB0000153,2026-08-05 02:12:35,4151058,家居日用-商品1058,1,88.03,88.03,0,0,100225,已退款,已退款,
TB0000154,2026-08-12 03:32:11,2475604,家居日用-商品5604,1,118.23,118.23,0,0,100225,未退款,已完成,
TB0000155,2026-08-12 06:23:11,4414988,美妆个护-商品4988,1,109.63,109.63,0,0,100227,未退款,已完成,
TB0000156,2026-08-07 08:27:25,2173868,母婴玩具-商品3868,1,38.37,38.37,0,0,100234,未退款,已完成,
TB0000156,2026-08-07 08:27:25,2806031,母婴玩具-商品6031,1,24.15,24.15,0,0,100234,未退款,已完成,
TB0000156,2026-08-07 08:27:25,5018627,家居日用-商品8627,1,67.8,67.8,0,0,100234,未退款,已完成,
TB0000156,2026-08-07 08:27:25,4161511,运动户外-商品1511,1,140.31,140.31,0,0,100234,未退款,已完成,
TB0000157,2026-08-07 08:27:59,1641665,家居日用-商品1665,1,112.44,112.44,0,0,100234,未退款,已完成,
TB0000158,2026-08-07 12:58:00,2317551,食品生鲜-商品7551,1,19.38,19.38,0,0,100234,未退款,已完成,
TB0000159,2026-08-06 13:59:25,1319902,数码家电-商品9902,1,288.81,288.81,0,0,100242,未退款,已完成,
TB0000159,2026-08-06 13:59:25,2953293,食品生鲜-商品3293,1,78.59,78.59,0,0,100242,未退款,已完成,
TB0000160,2026-08-07 23:32:37,1883901,美妆个护-商品3901,1,54.6,54.6,0,0,100242,未退款,已完成,
TB0000160,2026-08-07 23:32:37,5111655,美妆个护-商品1655,1,68.46,68.46,0,0,100242,未退款,已完成,
TB0000161,2026-08-09 13:32:59,671147,美妆个护-商品1147,1,127.06,127.06,0,0,100242,未退款,已完成,
TB0000162,2026-08-12 03:12:36,3576585,数码家电-商品6585,1,746.65,746.65,0,0,100243,未退款,已完成,
TB0000163,2026-08-12 05:55:40,1030531,运动户外-商品0531,1,53.73,53.73,0,0,100243,未退款,已完成,
TB0000164,2026-08-04 15:31:13,3648472,运动户外-商品8472,1,336.65,336.65,0,0,100249,已退款,已退款,
TB0000165,2026-08-07 13:39:04,1009464,图书文创-商品9464,1,37.99,37.99,0,0,100249,未退款,已完成,
TB0000166,2026-08-06 03:34:58,923499,运动户外-商品3499,1,279.66,279.66,0,0,100257,已退款,已退款,
TB0000167,2026-08-08 04:40:31,2317551,食品生鲜-商品7551,1,17.4,17.4,0,0,100257,未退款,已完成,
TB0000168,2026-08-09 05:10:14,5013880,美妆个护-商品3880,1,287.84,287.84,0,0,100257,未退款,已完成,
TB0000169,2026-08-10 00:31:41,1097810,图书文创-商品7810,1,23.45,23.45,0,0,100257,未退款,已完成,
TB0000170,2026-08-10 13:28:27,309462,母婴玩具-商品9462,1,127.96,127.96,0,0,100257,未退款,已完成,
TB0000171,2026-08-11 23:30:07,2711007,运动户外-商品1007,1,121.03,121.03,0,0,100257,未退款,已完成,
TB0000172,2026-08-08 23:16:36,5002645,运动户外-商品2645,1,129.05,129.05,0,0,100259,未退款,已完成,
TB0000173,2026-08-08 13:04:20,4771138,数码家电-商品1138,1,329.66,329.66,0,0,100261,未退款,已完成,
TB0000174,2026-08-12 15:27:23,3712186,美妆个护-商品2186,1,138.71,138.71,0,0,100261,未退款,已完成,
TB0000175,2026-08-06 09:02:32,4333553,服饰鞋包-商品3553,1,59.51,59.51,0,0,100264,未退款,已完成,
TB0000176,2026-08-11 14:15:33,3781993,运动户外-商品1993,1,342.36,342.36,0,0,100264,未退款,已完成,
TB0000177,2026-08-06 05:47:45,1385053,运动户外-商品5053,1,258.45,258.45,0,0,100277,未退款,已完成,
TB0000178,2026-08-04 04:17:24,744819,数码家电-商品4819,1,756.36,756.36,0,0,100279,未退款,已完成,
TB0000179,2026-08-12 12:10:34,744819,数码家电-商品4819,1,507.74,507.74,0,0,100279,未退款,已完成,
TB0000180,2026-08-12 12:28:16,744819,数码家电-商品4819,1,236.39,236.39,0,0,100279,未退款,已完成,
TB0000181,2026-08-06 23:08:41,4684234,食品生鲜-商品4234,1,88.35,88.35,0,0,100284,未退款,已完成,
TB0000182,2026-08-10 23:54:36,2899675,美妆个护-商品9675,1,113.16,113.16,0,0,100285,未退款,已完成,
TB0000183,2026-08-06 14:01:24,3101307,家居日用-商品1307,1,149.0,149.0,0,0,100292,未退款,已完成,
TB0000184,2026-08-06 14:31:39,1248691,数码家电-商品8691,1,377.85,377.85,0,0,100292,未退款,已完成,
TB0000185,2026-08-04 00:41:50,2659241,数码家电-商品9241,1,788.25,788.25,0,0,100294,未退款,已完成,
TB0000186,2026-08-04 00:50:33,1939639,数码家电-商品9639,1,195.18,195.18,0,0,100294,未退款,已完成,
TB0000187,2026-08-09 22:10:03,5003692,服饰鞋包-商品3692,1,141.45,141.45,0,0,100294,未退款,已完成,
TB0000188,2026-08-09 22:25:37,1111582,食品生鲜-商品1582,1,62.09,62.09,0,0,100294,未退款,已完成,
TB0000189,2026-08-12 01:55:44,1023735,食品生鲜-商品3735,1,63.69,63.69,0,0,100294,未退款,已完成,
TB0000190,2026-08-08 08:56:59,1064105,数码家电-商品4105,1,800.11,800.11,0,0,100307,未退款,已完成,
TB0000191,2026-08-09 06:56:13,2430516,美妆个护-商品0516,1,105.28,105.28,0,0,100307,未退款,已完成,
TB0000192,2026-08-07 01:49:34,4321890,食品生鲜-商品1890,1,29.79,29.79,0,0,100308,未退款,已完成,
TB0000193,2026-08-11 08:15:42,2218133,数码家电-商品8133,1,463.02,463.02,0,0,100313,未退款,已完成,
TB0000194,2026-08-09 05:38:23,388469,食品生鲜-商品8469,1,22.11,22.11,0,0,100318,未退款,已完成,
TB0000195,2026-08-12 13:04:43,2184704,母婴玩具-商品4704,1,172.37,172.37,0,0,100318,未退款,已完成,
TB0000196,2026-08-06 19:44:50,4737791,数码家电-商品7791,1,229.54,229.54,0,0,100324,未退款,已完成,
TB0000197,2026-08-07 13:58:14,4171975,运动户外-商品1975,1,246.2,246.2,0,0,100324,未退款,已完成,
TB0000198,2026-08-05 10:02:39,4236657,美妆个护-商品6657,1,147.04,147.04,0,0,100339,未退款,已完成,
TB0000199,2026-08-05 08:07:30,2319141,图书文创-商品9141,1,48.02,48.02,0,0,100340,已退款,已退款,
TB0000200,2026-08-08 12:06:15,1753026,数码家电-商品3026,1,591.41,591.41,0,0,100340,未退款,已完成,
TB0000201,2026-08-10 13:05:44,235562,食品生鲜-商品5562,1,30.81,30.81,0,0,100340,未退款,已完成,
TB0000202,2026-08-09 13:51:50,139137,服饰鞋包-商品9137,1,45.32,45.32,0,0,100346,未退款,已完成,
TB0000203,2026-08-05 04:43:28,27670,运动户外-商品7670,1,244.75,244.75,0,0,100356,未退款,已完成,
TB0000204,2026-08-07 14:45:37,3437459,服饰鞋包-商品7459,1,189.96,189.96,0,0,100356,未退款,已完成,
TB0000205,2026-08-11 13:34:46,968355,图书文创-商品8355,1,67.39,67.39,0,0,100356,未退款,已完成,
TB0000206,2026-08-12 06:36:50,3223820,服饰鞋包-商品3820,1,149.74,149.74,0,0,100356,未退款,已完成,
TB0000207,2026-08-12 10:46:15,2897967,图书文创-商品7967,1,50.47,50.47,0,0,100356,未退款,已完成,
TB0000208,2026-08-12 10:56:32,4003092,母婴玩具-商品3092,1,101.3,101.3,0,0,100356,未退款,已完成,
TB0000209,2026-08-11 04:03:43,62008,服饰鞋包-商品2008,1,140.7,140.7,0,0,100357,未退款,已完成,
TB0000210,2026-08-11 04:10:00,1160964,数码家电-商品0964,1,195.21,195.21,0,0,100357,未退款,已完成,
TB0000211,2026-08-06 12:48:49,4142765,数码家电-商品2765,1,885.86,885.86,0,0,100363,未退款,已完成,
TB0000212,2026-08-07 11:55:59,3815714,服饰鞋包-商品5714,1,84.49,84.49,0,0,100363,未退款,已完成,
TB0000213,2026-08-10 12:02:34,3467192,运动户外-商品7192,1,364.11,364.11,0,0,100370,未退款,已完成,
TB0000214,2026-08-12 07:03:39,1968385,美妆个护-商品8385,1,68.92,68.92,0,0,100370,未退款,已完成,
TB0000215,2026-08-08 08:01:00,1507627,美妆个护-商品7627,1,153.03,153.03,0,0,100377,未退款,已完成,
TB0000216,2026-08-12 05:24:03,1798104,运动户外-商品8104,1,125.09,125.09,0,0,100377,未退款,已完成,
